# fixture=templates,source=/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,5,24.317,2.304,2.570,0.789,29.980,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,5,30.040,1.650,2.610,0.877,35.177,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,5,28.949,1.605,2.824,0.702,34.080,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,6,28.335,2.240,2.438,0.722,33.735,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,6,29.212,1.578,2.494,0.776,34.060,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,6,29.858,1.848,3.088,0.889,35.684,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,7,26.391,2.512,2.934,1.325,33.162,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,7,26.974,1.485,2.656,0.791,31.906,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,7,27.401,1.443,2.517,0.678,32.040,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,8,29.985,1.357,2.380,0.680,34.402,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
