# fixture=wrap,source=/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,4,2.890,0.869,0.373,0.448,4.580,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,5,2.174,1.255,0.408,0.498,4.335,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,5,4.093,0.903,0.334,0.474,5.803,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,5,2.690,0.895,0.337,0.462,4.384,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,6,2.003,1.086,0.366,0.487,3.942,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,6,2.402,0.768,0.313,0.481,3.965,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,6,2.235,0.786,0.334,0.557,3.912,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,7,2.175,1.189,0.442,0.462,4.268,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,7,3.107,0.833,0.341,0.433,4.714,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,7,2.411,0.798,0.333,0.447,3.989,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,8,2.718,0.782,0.326,0.405,4.230,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,8,2.045,1.109,0.361,0.443,3.959,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,8,2.233,0.742,0.326,0.423,3.725,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,9,1.764,1.069,0.343,0.429,3.605,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,9,2.091,0.684,0.296,0.368,3.440,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,9,2.291,0.750,0.311,0.370,3.722,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,10,2.264,0.806,0.311,0.380,3.761,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,10,2.179,0.736,0.307,0.359,3.581,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,10,1.814,1.050,0.342,0.385,3.591,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,11,2.784,0.741,0.313,0.376,4.215,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,11,1.758,1.066,0.343,0.448,3.615,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,11,2.097,0.659,0.306,0.350,3.411,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
