# fixture=nas,source=/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,4,447.067,80.076,82.190,22.375,631.708,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,5,194.773,281.384,83.227,23.333,582.717,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,5,453.526,97.256,95.418,10.840,657.040,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,5,393.576,116.725,75.239,11.078,596.619,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,6,207.338,259.047,86.944,22.895,576.224,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,6,397.422,121.682,75.860,11.222,606.186,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,6,448.503,93.134,85.205,23.059,649.901,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,7,197.218,279.519,106.132,13.449,596.319,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,7,412.171,74.611,77.642,11.675,576.099,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,7,453.317,95.367,93.112,11.106,652.901,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
